,Away team,Home team,Year,week,Awayscore,Homescore,Nethomepoints,Spread,Aappg,Aappga,Happg,Happga,DAappg,DAappga,DHappg,DHappga,OsbournM,WuM
163,11,28,1992,2,3,31,28,-1.5,20,23,23,7,18.50919072,19.53744014,17.10027652,19.83927659,9.668666717,0.187754846
164,15,3,1992,2,27,23,-4,3,0,0,3,14,21.34483769,20.96247747,16.32739294,18.76719308,-0.787356806,-0.811839569
165,16,10,1992,2,17,31,14,-3.5,23,20,24,27,19.69684358,19.23820389,20.82248201,19.35576295,1.069314869,3.966487989
166,17,27,1992,2,0,14,14,-4,0,0,7,40,17.44662863,20.51723394,15.45861676,22.02620731,-8.275323008,-2.332242376
167,20,23,1992,2,10,27,17,2.5,17,20,29,24,19.0780391,18.96203686,20.41747422,20.24616926,6.506847733,2.734972166
168,21,7,1992,2,21,24,3,3,13,17,21,3,18.0375748,18.8964804,18.41291524,21.12562188,11.07147363,0.133780995
169,22,1,1992,2,31,14,-17,7.5,15,13,7,23,18.02321962,17.56986076,14.49126825,20.19599228,-4.03121197,-5.14993949
170,24,9,1992,2,13,21,8,-6.5,10,24,17,13,16.9517481,20.20368203,18.8234737,17.37866821,8.806779305,7.465348789
171,25,14,1992,2,7,26,19,-10.5,3,21,24,10,15.89463177,18.33241809,20.38972083,17.58927877,14.64534766,8.24079019
172,29,12,1992,2,20,10,-10,9,24,29,14,3,22.01893938,18.52139774,14.25010105,19.97846655,7.368261628,-8.116052238
173,1,30,1993,2,17,10,-7,-10,17,23,35,16,17.27062478,19.94106887,21.57086603,17.95407149,12.82533299,9.676940834
174,4,8,1993,2,13,10,-3,-5.5,38,14,16,35,24.1077155,18.44853882,21.33812047,18.65251068,-12.40586834,0.250975647
175,6,16,1993,2,7,10,3,-7,20,26,7,24,19.06923459,20.70766471,19.02253233,18.22802562,-2.561047344,5.187360365
176,10,17,1993,2,19,16,-3,7,30,13,14,38,20.09208988,19.43929909,15.82840652,21.35227569,-11.72981626,-4.837622697
177,12,7,1993,2,9,6,-3,3,20,24,14,27,17.05816795,19.35393733,17.58490776,20.82157254,-1.11400613,0.892158956
178,14,29,1993,2,0,30,30,-3.5,27,3,21,33,21.52646061,17.87534843,20.67854728,18.87081098,-8.589800362,1.090360392
179,18,2,1993,2,34,31,-3,4,33,21,13,30,22.01798239,17.07904467,18.77581446,22.03428434,-8.173096251,-6.320079589
180,20,15,1993,2,24,14,-10,-9,20,26,24,20,17.15999411,19.73045832,20.84793855,18.70711345,6.325307833,7.773004463
181,21,25,1993,2,17,13,-4,3,24,7,12,18,18.53139343,18.05481273,13.8571516,19.26531163,-5.000837383,-4.853453697
182,22,11,1993,2,20,17,-3,-3.5,23,17,36,6,21.04604019,17.7918123,21.11819899,18.32329001,12.96494575,2.664717476
183,23,27,1993,2,0,27,27,3.5,13,24,6,36,18.06303134,17.7181788,17.31139349,21.67679408,-5.288344846,-3.182953972
